coletado_em,colecao,numero,nome_en,nome_pt,preco_min,preco_medio,preco_max
2026-09-23T17:41:33-03:00,30C,001,Exeggcute (#001/128),Exeggcute,1.0,2.3,5.9
2026-09-23T17:41:33-03:00,30C,002,Alolan Exeggutor (#002/128),Exeggutor de Alola,1.72,2.81,5.9
2026-09-23T17:41:33-03:00,30C,003,Volbeat (#003/128),Volbeat,0.96,2.29,5.9
2026-09-23T17:41:33-03:00,30C,004,Illumise (#004/128),Illumise,0.96,2.1,5.9
2026-09-23T17:41:33-03:00,30C,005,Tropius (#005/128),Tropius,0.96,2.0,7.0
2026-09-23T17:41:33-03:00,30C,006,Cherubi (#006/128),Cherubi,0.96,2.02,5.9
2026-09-23T17:41:33-03:00,30C,007,Cherrim (#007/128),Cherrim,0.97,2.24,5.9
2026-09-23T17:41:33-03:00,30C,008,Vivillon (#008/128),Vivillon,1.29,2.36,5.9
2026-09-23T17:41:33-03:00,30C,009,Vulpix (#009/128),Vulpix,0.97,2.67,9.9
2026-09-23T17:41:33-03:00,30C,010,Ninetales (#010/128),Ninetales,1.5,2.81,5.9
2026-09-23T17:41:33-03:00,30C,011,Moltres (#011/128),Moltres,2.0,5.1,14.9
2026-09-23T17:41:33-03:00,30C,012,Ho-Oh (#012/128),Ho-Oh,1.88,4.72,9.9
2026-09-23T17:41:33-03:00,30C,013,Victini (#013/128),Victini,1.5,2.72,9.9
2026-09-23T17:41:33-03:00,30C,014,Reshiram (#014/128),Reshiram,0.96,2.73,8.9
2026-09-23T17:41:33-03:00,30C,015,Fuecoco ex (#015/128),Fuecoco ex,4.99,9.78,39.9
2026-09-23T17:41:33-03:00,30C,016,Slowpoke (#016/128),Slowpoke,0.97,3.09,11.9
2026-09-23T17:41:33-03:00,30C,017,Lapras (#017/128),Lapras,0.96,4.0,19.9
2026-09-23T17:41:33-03:00,30C,018,Articuno (#018/128),Articuno,2.5,11.16,34.9
2026-09-23T17:41:33-03:00,30C,019,Kyogre (#019/128),Kyogre,0.96,5.67,9.9
2026-09-23T17:41:33-03:00,30C,020,Palkia (#020/128),Palkia,1.5,3.37,9.9
2026-09-23T17:41:33-03:00,30C,021,Greninja ex (#021/128),Greninja ex,11.25,18.06,39.9
2026-09-23T17:41:33-03:00,30C,022,Wishiwashi (#022/128),Wishiwashi,0.96,2.05,5.9
2026-09-23T17:41:33-03:00,30C,023,Pikachu (#023/128),Pikachu,9.96,20.67,39.9
2026-09-23T17:41:33-03:00,30C,024,Pikachu (#024/128),Pikachu,9.5,19.92,39.9
2026-09-23T17:41:33-03:00,30C,025,Pikachu (#025/128),Pikachu,7.9,19.02,39.9
2026-09-23T17:41:33-03:00,30C,026,Pikachu (#026/128),Pikachu,12.98,23.42,59.9
2026-09-23T17:41:33-03:00,30C,027,Pikachu (#027/128),Pikachu,17.95,35.02,69.89
2026-09-23T17:41:33-03:00,30C,028,Pikachu (#028/128),Pikachu,19.99,27.62,99.9
2026-09-23T17:41:33-03:00,30C,029,Pikachu (#029/128),Pikachu,9.5,28.96,65.0
2026-09-23T17:41:33-03:00,30C,030,Pikachu (#030/128),Pikachu,9.5,18.24,39.9
2026-09-23T17:41:33-03:00,30C,031,Pikachu (#031/128),Pikachu,10.95,20.67,39.9
2026-09-23T17:41:33-03:00,30C,032,Pikachu (#032/128),Pikachu,19.0,52.34,89.9
2026-09-23T17:41:33-03:00,30C,033,Pikachu (#033/128),Pikachu,9.5,20.25,39.9
2026-09-23T17:41:33-03:00,30C,034,Pikachu (#034/128),Pikachu,14.88,66.63,99.9
2026-09-23T17:41:33-03:00,30C,035,Pikachu (#035/128),Pikachu,12.0,24.89,39.9
2026-09-23T17:41:33-03:00,30C,036,Pikachu (#036/128),Pikachu,14.0,30.22,89.9
2026-09-23T17:41:33-03:00,30C,037,Pikachu (#037/128),Pikachu,9.5,30.91,79.9
2026-09-23T17:41:33-03:00,30C,038,Pikachu (#038/128),Pikachu,9.5,26.49,99.9
2026-09-23T17:41:33-03:00,30C,039,Pikachu (#039/128),Pikachu,13.98,27.39,39.9
2026-09-23T17:41:33-03:00,30C,040,Pikachu (#040/128),Pikachu,19.98,55.9,120.0
2026-09-23T17:41:33-03:00,30C,041,Pikachu (#041/128),Pikachu,10.46,19.95,39.9
2026-09-23T17:41:33-03:00,30C,042,Pikachu (#042/128),Pikachu,9.5,20.65,39.9
2026-09-23T17:41:33-03:00,30C,043,Pikachu (#043/128),Pikachu,14.98,25.61,39.9
2026-09-23T17:41:33-03:00,30C,044,Pikachu (#044/128),Pikachu,9.5,25.57,39.9
2026-09-23T17:41:33-03:00,30C,045,Pikachu (#045/128),Pikachu,9.9,22.0,89.9
2026-09-23T17:41:33-03:00,30C,046,Pikachu (#046/128),Pikachu,13.89,22.23,39.9
2026-09-23T17:41:33-03:00,30C,047,Pikachu (#047/128),Pikachu,9.5,19.94,39.9
2026-09-23T17:41:33-03:00,30C,048,Pikachu (#048/128),Pikachu,9.9,25.29,99.9
2026-09-23T17:41:33-03:00,30C,049,Pikachu (#049/128),Pikachu,9.5,19.58,39.9
2026-09-23T17:41:33-03:00,30C,050,Pikachu (#050/128),Pikachu,9.9,30.21,99.9
2026-09-23T17:41:33-03:00,30C,051,Pikachu (#051/128),Pikachu,10.9,19.65,39.9
2026-09-23T17:41:33-03:00,30C,052,Pikachu (#052/128),Pikachu,13.87,23.15,99.9
2026-09-23T17:41:33-03:00,30C,053,Pikachu ex (#053/128),Pikachu ex,17.99,29.75,51.9
